Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2024-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
India,IND,"Intentional homicides, female (per 100,000 female)",,,,,,,,,,2.919505926,2.971337583,2.875451756,2.739472289,2.684266849,2.893442641,2.740320787,2.752378244,2.924838594,2.917289351,3.022271309,2.983235436,3.083917592,2.997005855,2.87123059,2.894424954,2.672982545,2.760501148,2.647045091,2.603814407,2.577568999,2.42577426,2.497924627,,
India,IND,Battle-related deaths (number of people),2326,3153,3078,1503,1178,836,833,950,881,2041,2891,1231,1902,1727,1613,1382,1373,1086,1083,1115,1028,439,416,405,473,504,637,665,824,594,584,430,310,
India,IND,Voice and Accountability: Percentile Rank,,,,,,,64,,61.69154358,,59.20397949,,61.19403076,63.18407822,61.53845978,61.53845978,59.13461685,59.61538315,60.09615326,59.71564102,60.1895752,61.03286362,61.03286362,61.50234604,60.09852219,60.59113312,61.57635498,58.62068939,58.25242615,56.0386467,52.65700531,50.72463608,49.27536392,
India,IND,Transport services (% of commercial service exports),20.81392163,19.88012957,21.15607243,24.67372869,28.42211622,27.95135541,27.70127284,21.75914792,16.02111073,13.16458276,14.21030578,15.48953927,14.96982592,14.83576401,13.03295104,12.60740535,12.50842358,11.84061303,12.11739975,12.14527899,11.38683627,12.83317787,12.07116981,11.37552821,11.87445855,9.195539778,9.412097495,9.194177617,9.298540791,9.86579255,10.26754471,12.23303838,12.15949139,8.717184175
India,IND,"Computer, communications and other services (% of commercial service exports)",42.70349503,40.40512082,28.86881698,29.63186975,31.495703,31.36238085,29.93639835,43.29984852,55.25703398,63.64819387,60.88316145,61.97255757,63.94629393,63.00400943,67.48856614,68.92239348,69.9915422,70.05314464,71.14732274,70.26526637,69.65302575,67.92565343,70.29041687,70.52329097,70.48587461,72.60354028,72.20694829,72.22720506,72.79782402,72.35574664,80.10615542,80.75214607,77.45586654,78.23655401
India,IND,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",25.43148619,16.31173559,9.158959678,6.307703755,5.653170202,7.688742984,4.74615006,1.35585461,0.755826129,0.398645663,3.427468956,5.097058718,1.656071683,0.502964128,0.512686503,0.363944035,0.332988891,0.342291972,1.896917531,2.881200246,1.4332378,4.995298467,1.708199753,3.724617719,1.044753456,0.914262347,0.928118516,0.743686954,0.826382981,0.859008259,0.464063173,,,
India,IND,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),0.309609439,0.45007933,0.594102753,0.798108906,0.964584894,0.791632252,0.936283654,1.190858722,1.286790643,1.300191737,1.557806635,1.66899904,1.907505834,1.548165225,2.090374181,2.433934498,2.636466695,2.97899879,2.932017752,2.177071694,2.862133004,3.093012546,3.667136149,3.418100087,4.314024369,3.5896463,3.473299248,3.558333221,3.605644216,3.69924245,3.825279248,,,
India,IND,Merchandise exports to high-income economies (% of total merchandise exports),64.84454483,70.86935819,72.63688919,73.52518866,75.56092722,70.54706858,72.44254736,75.88951558,77.73862585,79.04799685,74.70660127,70.14959506,71.00659415,70.30599711,69.46544055,69.51452435,68.10974928,65.69446961,66.41085218,66.04121339,64.0703657,63.52060987,64.49543181,61.12605112,61.15572119,63.94375673,65.33145941,63.97158454,62.05605239,61.59623903,60.08650716,,,
India,IND,Manufactures exports (% of merchandise exports),70.07542025,71.71169905,73.19657231,73.365239,75.94065616,73.25270229,72.12263374,74.03805489,75.94758604,79.14734656,77.72778417,74.75601732,74.92780315,76.40857514,73.35916697,70.61570183,65.7886789,63.72775441,62.24093556,66.32959201,62.61844578,61.14003974,62.22490991,60.08049313,62.61430354,68.76315847,71.51423802,69.69870122,69.2682604,71.0205379,71.01458431,68.07336899,62.33156435,63.54704774
India,IND,Food exports (% of merchandise exports),15.57830723,16.79720295,16.17991953,16.79386354,15.52775621,18.67909658,18.54045529,17.76325701,17.17537306,14.49377429,12.79072942,13.28385338,12.73300523,11.05786877,10.38868998,8.969849787,8.55626282,9.189761014,9.949921915,7.978831556,8.257129101,8.958600307,10.54481146,11.11922089,11.33796068,11.33000905,11.16361472,11.67721253,10.50101883,10.414488,12.77341498,11.31929465,11.13744857,11.01303916
India,IND,Medium and high-tech exports (% manufactured exports),18.08366191,18.79019323,16.09086675,17.28796543,18.34751851,19.39555818,20.37043335,20.70062493,18.44959511,18.03001635,18.67998691,21.49672583,21.54625105,22.19948757,22.82827764,22.59798289,23.1763905,23.96992523,27.29898219,28.86288999,28.24124824,27.67446292,28.04963343,28.6969111,30.20739791,33.89056635,34.07052385,33.84246412,34.77312861,36.668957,40.03560295,35.61078587,,
India,IND,Commercial service imports (current US$),5942595183,5796636459,6614564439,6356161518,8030392452,10062141167,11000427519,12277011575,14191837256,17044738890,18897585609,19791960830,20776267074,24678773632,35092846077,46699475817,58040553581,69757132293,55061627135,52308542315,78210856251,76915514527,79215876738,77654804413,80160943501,81766553453,95239156494,1.09E+11,1.23E+11,1.29E+11,1.15E+11,1.37E+11,1.76E+11,1.77E+11
India,IND,Merchandise imports by the reporting economy (current US$),23991423128,19509428000,23196569257,21268794080,25484480716,34486530000,36054758486,40896425000,42162075000,47900500000,50259699995,50129318523,58811451699,73931350643,99815185137,1.40E+11,1.77E+11,2.35E+11,3.21E+11,2.58E+11,3.51E+11,4.65E+11,4.90E+11,4.68E+11,4.61E+11,3.92E+11,3.56E+11,4.43E+11,5.09E+11,4.80E+11,3.68E+11,,,
